#OTU ID,1-1,1-2,1-3,1-4,1-7,1-8,2-1,2-2,3-1,3-2,4-1,6-2,c-1,c-3
AB695759.1.1437,17,5,2,4,0,11,0,0,4,0,0,1,0,0
LC026895.1.1413,110,206,41,141,103,48,1,0,13,6,0,1,14,1
LC026917.1.1464,23,28,45,41,19,45,72,76,188,107,86,11,13,126
MH229471.1.1463,76,62,13,66,31,29,30,6,42,27,11,85,0,0
AB712348.1.1442,99,10,12,1,23,11,0,0,3,0,0,0,0,0
KT714226.1.1499,1,0,1,0,0,0,0,0,0,0,1,0,0,0
KU515466.1.1490,6,1,1,3,1,2,0,0,0,0,0,0,0,0
KJ806192.36869.38348,1,1,0,0,0,1,0,0,0,1,0,0,0,0
AB696345.1.1344,547,191,1149,1743,2443,306,35,97,40,90,3,2,2,5
KC463364.1.1435,21,3,30,1243,3,5,169,16,20,6,5,0,0,0
DQ532278.1.1483,214,84,73,20,62,86,24,17,58,31,6,3,1,1
JF209112.1.1350,33,19,20,21,25,13,15,5,6,10,152,118,0,0
AB374369.1.1506,11,13,19,8,6,111,2,0,12,13,7,16,0,11
KX508719.1.1448,148,199,82,129,139,166,10,4,48,16,3,20,10,5
KC683310.1.1491,419,227,1369,1951,2762,320,30,98,28,42,0,1,2,5
HM331644.1.1352,1,0,0,0,0,0,0,0,0,0,0,0,1,0
AB672158.1.1427,2,3,2,1,2,2,0,0,3,0,0,0,3,0
JN459527.1.1446,1,0,1,0,0,0,1,1,2,0,0,0,0,0
FQ659126.1.1374,1,0,0,0,0,1,1,0,0,0,0,0,0,1
JQ675468.1.1305,1,2,2,0,0,1,0,0,1,0,0,0,0,2
HM241130.1.1429,176,35,346,22,231,191,98,134,139,154,233,34,6,3
CU917679.1.1310,1,0,0,1,0,0,0,0,0,0,0,0,0,0
HM565038.1.1389,4,8,3,4,4,5,0,2,5,2,0,1,3,4
AB636945.1.1426,473,71,16,98,29,35,24,10,61,16,2,25,0,5
KM200501.1.1447,35,1,0,1,2,1,0,0,0,0,0,0,1,0
JQ906048.1.1347,5,5,5,5,1,3,4,7,7,6,2,6,1,1
KC331301.1.1446,205,324,229,557,400,335,150,65,173,159,1,11,28,2
HQ120358.1.1475,19,37,43,16,18,71,1,11,11,6,0,6,2,9
GU118058.1.1442,2,2,0,1,3,1,0,0,2,4,31,2,0,0
HM187310.1.1476,138,55,4,24,7,2,28,5,0,10,1,8,0,1
AJ132943.28.1450,56,58,26,30,33,34,3,0,7,2,1,77,0,0
KC286897.1.1485,3,0,4,14,24,2,23,2,53,6,168,0,0,0
HQ118429.1.1486,2,0,0,0,0,0,0,0,0,0,0,0,10,0
FN421959.1.1370,2,0,0,0,0,1,0,2,2,1,0,2,2,0
EF019225.1.1363,1,0,2,2,1,4,2,0,2,4,2,0,2,2
HM186148.1.1366,93,37,43,32,58,17,18,15,16,18,8,28,1,0
FPLS01001484.11.1517,118,56,316,68,21,57,0,1,52,2,8,5,8,2
JQ793455.1.1485,24,17,86,4,16,27,9,6,23,8,13,0,7,172
KF999686.1.1416,305,1,4,0,11,2,0,0,5,0,48,0,0,0
DQ365999.1.1490,23,235,226,44,24,40,6,2,4,28,5,27,3,10
KX508179.1.1496,13,8,1,2,3,4,0,0,1,0,0,0,2,0
KY629947.1.1338,4,4,0,0,3,1,0,1,2,1,1,2,0,0
CP010054.967645.969155,34,13,10,14,18,8,6,2,11,0,4,12,0,0
EF423330.1.1432,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KC358446.1.1261,8,4,2,0,5,3,0,0,1,0,0,0,0,0
FPLL01007315.17.1534,1,0,0,0,1,0,0,0,0,1,0,0,0,0
AB696096.1.1437,31,14,14,56,18,21,43,8,72,99,0,59,0,2
AB637025.1.1479,196,189,52,139,251,35,3,1,8,1,11,10,66,6
AB374387.1.1481,15,12,0,9,3,10,0,0,63,0,1,1,0,0
KC682102.1.1412,13,3,3,29,6,6,2,4,34,7,0,0,0,0
LC026824.1.1484,57,4,39,2,25,11,1,10,84,14,0,1,0,10
KX828176.91092.95247,43,1,5,21,1,1,0,0,0,0,0,0,0,0
FPLL01006319.11.1516,3,2,7,3,2,4,0,1,0,2,0,0,0,5
AJ316573.1.1475,11,14,5,17,14,10,2,1,1,6,0,1,0,0
JQ769741.1.1516,194,1,0,4,1,0,0,2,0,0,0,1,2,1
KF994923.1.1502,23,0,0,4,4,2,24,0,3,20,5,35,0,0
KY933307.1.1483,154,12,32,13,14,33,1,46,9,2,0,0,4,9
FN811257.1.1514,36,20,76,66,28,183,189,186,334,417,50,43,21,115
EU772116.1.1385,2,0,0,0,0,0,0,0,0,0,0,0,1,0
JF181234.1.1350,1,0,0,0,1,0,0,0,1,0,0,0,1,0
KX507972.1.1492,5,5,2,0,3,1,0,0,0,0,0,0,0,0
HQ910259.1.1449,508,383,238,370,220,171,92,26,105,188,2,11,11,3
HM224447.1.1436,213,21,80,22,64,141,50,49,84,60,121,14,2,3
MH588267.1.1459,48,1,5,10,33,8,9,2,42,8,10,26,0,0
JF172049.1.1358,2,4,11,3,0,5,0,0,1,1,0,3,3,0
EU335341.1.1577,3,2,4,1,0,1,0,2,3,1,0,0,1,0
MG383380.1.1418,4,6,4,0,5,1,0,0,0,0,0,0,0,0
KC463191.1.1489,83,1,129,307,3,10,51,24,52,5,0,0,0,0
KF037290.1.1462,83,0,1,1,8,1,0,0,53,5,267,36,0,0
JQ769548.1.1450,11,12,24,12,25,54,46,40,33,180,15,256,4,23
KM186624.1.1442,8,2,0,2,0,0,0,0,0,0,0,0,0,0
JN367223.1.1434,342,216,68,169,134,136,18,5,354,2,0,25,0,1
MH686094.1.1483,3,2,1,15,5,4,2,6,2,1,0,3,2,0
JN559134.1.1493,4,1,7,3,2,3,0,0,2,2,3,0,1,0
FJ479408.1.1511,5,2,4,2,3,3,0,1,5,2,0,0,0,0
AB696111.1.1451,88,125,103,39,21,51,2,1,3,4,0,12,0,35
HM565033.1.1471,284,159,104,59,86,49,62,32,75,37,18,14,18,7
MF113639.1.1477,196,107,512,81,126,558,52,167,164,176,1,4,702,460
KX504821.1.1472,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KF895430.1.1386,1,0,0,1,0,0,0,0,1,0,0,0,1,0
GQ421849.1.1439,197,145,61,134,84,41,7,5,17,19,0,2,5,0
AB682141.1.1407,4,3,3,2,1,3,0,0,0,0,0,0,0,0
AB637290.1.1480,6,16,1,3,2,1,0,0,0,0,1,0,0,18
JF776955.1.1409,13,23,3,3,7,15,3,1,7,2,1,1,0,1
AF351234.1.1436,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HQ397216.1.1452,31,25,13,24,24,8,1,2,5,4,0,0,1,0
JF159875.1.1310,52,47,13,3,5,11,0,0,21,6,2,20,0,0
AB696091.1.1445,526,283,121,135,382,380,102,18,21,18,4,82,1,0
KC110982.1.1486,309,31,14,24,33,34,20,9,40,10,16,37,0,1
KT199256.98311.99816,3,0,3,12,2,3,1,1,0,0,0,0,1,0
EU772321.1.1393,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AY921844.1.1370,11,13,13,16,32,37,3,7,9,22,11,8,1,0
FN421950.1.1367,24,0,7,3,4,2,2,1,19,5,3,1,2,2
JX504804.1.1396,9,10,8,7,8,9,5,3,8,12,0,0,1,1
JX523884.1.1251,5,5,2,4,4,9,7,1,5,4,1,7,0,0
EU119223.1.1511,1,1,0,0,0,1,0,0,0,0,1,0,0,0
EU133643.1.1358,10,1,12,3,1,4,1,0,4,3,2,0,1,22
FPLS01056362.9.1478,2,5,2,7,6,7,14,8,2,12,2,1,1,0
FM873861.1.1471,9,49,56,25,59,31,0,3,9,10,11,0,1,6
HM366494.1.1507,1,3,1,2,3,6,1,0,1,1,5,12,5,5
JQ769757.1.1507,155,0,0,5,0,2,0,1,0,0,1,0,3,4
AM935362.1.1351,2,0,0,0,1,1,0,0,0,0,0,0,0,2
MF574181.433.1928,141,27,2,190,15,13,6,8,4,3,1,0,1,1
AJ968693.1.1443,10,22,19,12,11,7,0,1,3,4,0,0,1,1
FPLS01037467.11.1527,7,0,4,1,2,0,0,1,0,0,0,0,3,2
MH588268.1.1367,30,14,12,9,26,14,23,7,9,68,1,51,0,4
EU799964.1.1485,1,0,0,0,0,0,0,0,0,0,0,0,1,0
AB695735.1.1409,26,4,8,10,2,3,10,6,47,4,0,0,1,0
GQ487946.1.1448,60,4,0,8,1,6,0,0,0,1,0,0,0,0
EU135087.1.1342,7,24,20,26,30,27,10,28,49,59,6,1,187,140
JF163484.1.1319,111,3,3,4,3,8,1,0,46,0,3,9,0,0
FJ204432.1.1382,67,26,22,31,30,39,42,8,24,46,19,94,1,5
