OTU	Domain	Phylum	Class	Order	Family	Genus	Species	X1.1	X1.2	X1.3	X1.4	X1.7	X1.8	X2.1	X2.2	X3.1	X3.2	X4.1	X6.2	c.1	c.3
HZ484870.1.1326	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
AB184307.1.1472	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_vastus	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
AB555215.1.1473	d__Bacteria	p__Elusimicrobiota	c__Endomicrobia	o__Endomicrobiales	f__Endomicrobiaceae	g__Endomicrobium	s__uncultured_rumen	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
EU245308.1.1514	d__Bacteria	p__Calditrichota	c__Calditrichia	o__Calditrichales	f__Calditrichaceae	g__Calditrichaceae	s__uncultured_organism	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
DQ396281.1.1477	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__AT-s3-44	f__AT-s3-44	g__AT-s3-44	s__uncultured_organism	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
CP011074.2630461.2632005	d__Bacteria	p__Firmicutes	c__Bacilli	o__Brevibacillales	f__Brevibacillaceae	g__Brevibacillus	s__Brevibacillus_laterosporus	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
EU571199.1.1365	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__uncultured	s__Paenibacillus_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
AY756142.1.1404	d__Bacteria	p__Firmicutes	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfotomaculales	g__Desulfotomaculum	s__anaerobic_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
AB754039.1.1462	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Sterolibacterium	s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
EU134338.1.1364	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__Haliangium	s__uncultured_bacterium	0.0160187098531084	0.033862017739328	0.0693850957429705	0.0122877294733479	0.0487966560480233	0.0941650160729941	0.0143983297937439	0.0319673932588759	0.0374691132984972	0.0106801301034031	0.0270920112431847	0.00233192640440268	0.251363990646921	0.272056874697931
FQ658537.1.1376	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Sandaracinaceae	g__Sandaracinus	s__uncultured_soil	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
KP174508.1.1485	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__uncultured	g__uncultured	s__bacterium_YC-ZSS-LKJ199	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0.00233859777677305
KF851176.1.1329	d__Bacteria	p__Chloroflexi	c__Dehalococcoidia	o__t0.6.f	f__t0.6.f	g__t0.6.f	s__uncultured_Chloroflexaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
JQ617856.1.1481	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Aestuariimicrobium	s__uncultured_Actinobacteridae	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
AM997633.1.1493	d__Bacteria	p__Elusimicrobiota	c__Elusimicrobia	o__MVP-88	f__MVP-88	g__MVP-88	s__uncultured_deep-sea	0	0	0	0	0	0	0	0	0	0	0	0	0.0019485580670304	0
DQ450789.1.1330	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__JG36-TzT-191	f__JG36-TzT-191	g__JG36-TzT-191	s__uncultured_gamma	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
EF019747.1.1394	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__JG36-TzT-191	f__JG36-TzT-191	g__JG36-TzT-191	s__uncultured_proteobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
KM356512.1.1475	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfobacterales	f__Desulfococcaceae	g__Desulfonema	s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
KM205505.1.1482	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Sorangium	s__uncultured_soil	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
JN178907.1.1449	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__I-8	s__uncultured_planctomycete	0	0	0	0	0	0	0	0	0	0	0	0	0.0029228371005456	0.00389766296128841
JX535219.1.1499	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Zoogloea	s__uncultured_Zoogloea	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
AJ390463.1.1381	d__Bacteria	p__Verrucomicrobiota	c__Omnitrophia	o__Omnitrophales	f__Omnitrophaceae	g__Candidatus_Omnitrophus	s__uncultured_soil	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
HM164065.13783.15252	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Chloroplast	f__Chloroplast	g__Chloroplast	s__Stewartia_crassifolia	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
AY493948.1.1453	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Comamonas	s__uncultured_soil	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
EF688386.1.1501	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__PLTA13	f__PLTA13	g__PLTA13	s__uncultured_soil	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
AM997350.1.1560	d__Bacteria	p__Verrucomicrobiota	c__Omnitrophia	o__Omnitrophales	f__koll11	g__koll11	s__uncultured_deep-sea	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
MGDH01000023.33599.35182	d__Bacteria	p__Schekmanbacteria	c__Schekmanbacteria	o__Schekmanbacteria	f__Schekmanbacteria	g__Schekmanbacteria	s__Candidatus_Schekmanbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
GQ133473.1.1379	d__Bacteria	p__Firmicutes	c__Bacilli	o__Acholeplasmatales	f__Acholeplasmataceae	g__Acholeplasma	s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
FJ205339.1.1470	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Gammaproteobacteria_Incertae_Sedis	f__Unknown_Family	g__Unknown_Family	s__uncultured_gamma	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
JQ291594.1.1483	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
FVWC01000104.1901.3396	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Nocardia	s__Mycobacterium_abscessus	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
FPLM01005896.14.1530	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Nitrosomonas	s__metagenome	0	0	0	0	0	0	0	0	0	0	0.00169325070269904	0	0.000974279033515199	0.000779532592257682
JF727702.1.1495	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__Blastopirellula	s__uncultured_planctomycete	0.00160187098531084	0.00109232315288155	0.00592311792927797	0	0.000920691623547609	0.0054117825329307	0	0	0.00303803621339166	0.00388368367396476	0.00169325070269904	0.00116596320220134	0.0165627435697584	0.0374175644283688
HQ245995.1.1462	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Castellaniella	s__uncultured_Alcaligenes	0	0	0	0	0	0	0	0	0	0	0	0	0.0019485580670304	0.00155906518451536
KC855021.1.1465	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Luteimonas	s__Lysobacter_pocheonensis	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
AF295302.1.1470	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus_endophyticus	0	0.00109232315288155	0	0	0	0	0	0	0	0	0	0	0.0029228371005456	0
JN529999.1.1436	d__Bacteria	p__FW113	c__FW113	o__FW113	f__FW113	g__FW113	s__uncultured_organism	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
EF173355.1.1512	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__GOUTA6	s__uncultured_bacterium	0	0	0.000846159704182567	0.000819181964889861	0	0	0	0	0	0	0	0.00116596320220134	0.00584567420109119	0.00233859777677305
MG905633.1.1525	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus_simplex	0.000800935492655422	0	0	0	0	0	0	0	0	0	0	0	0.0107170693686672	0
GQ302565.1.1512	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__uncultured	g__uncultured	s__uncultured_Acidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0.00155906518451536
CP016793.267762.269287	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Lechevalieria	s__Lentzea_guizhouensis	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
KJ566230.1.1533	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellae	o__WCHB1-41	f__WCHB1-41	g__WCHB1-41	s__uncultured_Kiritimatiellaeota	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
AJ439345.1.1505	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_macginleyi	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
KM108662.1.1481	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__env.OPS_17	g__env.OPS_17	s__uncultured_Alistipes	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
EU979072.1.1525	d__Bacteria	p__Acidobacteriota	c__Subgroup_25	o__Subgroup_25	f__Subgroup_25	g__Subgroup_25	s__uncultured_Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
KP174640.1.1389	d__Bacteria	p__Chloroflexi	c__Dehalococcoidia	o__S085	f__S085	g__S085	s__bacterium_YC-LK-LKJ27	0	0	0	0	0	0	0	0	0	0	0	0	0.0019485580670304	0.0124725214761229
JN391763.1.1502	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Dechlorobacter	s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
EU245218.1.1526	d__Bacteria	p__Myxococcota	c__Polyangia	o__VHS-B3-70	f__VHS-B3-70	g__VHS-B3-70	s__uncultured_organism	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
KT750886.1.1233	d__Bacteria	p__Firmicutes	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Bacillus_thuringiensis	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
KF494499.1.1520	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Cohnella	s__uncultured_bacterium	0.000800935492655422	0	0	0	0	0	0	0	0	0	0	0	0.00974279033515199	0
JN825373.1.1386	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Tistrellales	f__Geminicoccaceae	g__uncultured	s__uncultured_Alphaproteobacteria	0	0	0	0.000819181964889861	0.000920691623547609	0	0	0	0.00101267873779722	0	0	0	0.0019485580670304	0.00701579333031914
HQ395214.1.1486	d__Bacteria	p__Synergistota	c__Synergistia	o__Synergistales	f__Synergistaceae	g__Acetomicrobium	s__bacterium_enrichment	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
KY433858.1.1505	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Dyella	s__Dyella_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
AB806235.1.1457	d__Bacteria	p__Firmicutes	c__Symbiobacteriia	o__Symbiobacteriales	f__uncultured	g__uncultured	s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
HM799086.1.1419	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__uncultured_Rhizobiales	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
JN032389.1.1399	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__TRA3-20	g__TRA3-20	s__uncultured_Thiobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0.0019485580670304	0
AM882570.1.1500	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__SZB50	f__SZB50	g__SZB50	s__uncultured_gamma	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
